               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13403,            0.027312,                   0,                   0,                   0,                   0,                   0,               0.094,            0.024967,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.13045,            0.026649,                   0,                   0,                   0,                   0,                   0,            0.090967,            0.024853,                   0,            0.097299,          0.00029926,          0.00029926
                   2,             0.12904,            0.026117,                   0,                   0,                   0,                   0,                   0,            0.088202,            0.025169,                   0,            0.095498,          0.00049752,          0.00049752
                   3,             0.12667,            0.025821,                   0,                   0,                   0,                   0,                   0,            0.081642,            0.026672,                   0,            0.093695,           0.0006948,           0.0006948
                   4,             0.12393,              0.0246,                   0,                   0,                   0,                   0,                   0,            0.075381,            0.028435,                   0,            0.091891,          0.00089109,          0.00089109
                   5,             0.11998,            0.025335,                   0,                   0,                   0,                   0,                   0,            0.070092,            0.029877,                   0,            0.090086,           0.0010864,           0.0010864
                   6,             0.11696,            0.024077,                   0,                   0,                   0,                   0,                   0,            0.066839,            0.030537,                   0,            0.088281,           0.0012807,           0.0012807
                   7,             0.10823,            0.022184,                   0,          0.00030303,            0.041667,          0.00016318,          3.2635e-05,            0.064002,            0.031006,                   0,            0.086474,            0.001474,            0.001474
                   8,            0.092316,            0.023764,                   0,          0.00030303,            0.041667,           0.0001618,          4.8539e-05,            0.062119,             0.03141,                   0,            0.084666,           0.0016663,           0.0016663
                   9,             0.10959,            0.023875,                   0,          0.00030303,            0.041667,          0.00016057,          4.8171e-05,            0.061219,            0.031471,                   0,            0.082858,           0.0018577,           0.0018577
                  10,             0.11211,            0.022403,                   0,          0.00030303,            0.041667,          0.00015974,          1.5974e-05,            0.060534,            0.031231,                   0,            0.081048,            0.002048,            0.002048
                  11,             0.10779,             0.02083,                   0,                   0,                   0,                   0,                   0,            0.060665,            0.030769,                   0,            0.079237,           0.0022374,           0.0022374
                  12,             0.10585,            0.019964,                   0,                   0,                   0,                   0,                   0,            0.057933,            0.031467,                   0,            0.077426,           0.0024257,           0.0024257
                  13,             0.10411,            0.021417,                   0,                   0,                   0,                   0,                   0,            0.058227,              0.0308,                   0,            0.075613,           0.0026131,           0.0026131
                  14,             0.10636,            0.019828,                   0,                   0,                   0,                   0,                   0,            0.058347,            0.030212,                   0,              0.0738,           0.0027995,           0.0027995
                  15,             0.10658,             0.02071,                   0,                   0,                   0,                   0,                   0,            0.056308,            0.030712,                   0,            0.071985,           0.0029849,           0.0029849
                  16,             0.10285,            0.017677,                   0,                   0,                   0,                   0,                   0,            0.053951,            0.031296,                   0,            0.070169,           0.0031693,           0.0031693
                  17,            0.085911,            0.021244,                   0,                   0,                   0,                   0,                   0,            0.053854,            0.030796,                   0,            0.068353,           0.0033527,           0.0033527
                  18,             0.10108,            0.018879,                   0,                   0,                   0,                   0,                   0,            0.051812,            0.031265,                   0,            0.066535,           0.0035352,           0.0035352
                  19,            0.096643,            0.020714,                   0,                   0,                   0,                   0,                   0,            0.052812,            0.030008,                   0,            0.064717,           0.0037166,           0.0037166
                  20,             0.10276,            0.020692,                   0,                   0,                   0,                   0,                   0,            0.052011,            0.029955,                   0,            0.062897,            0.003897,            0.003897
                  21,            0.095492,            0.017793,                   0,                   0,                   0,                   0,                   0,            0.049198,            0.031086,                   0,            0.061077,           0.0040765,           0.0040765
                  22,            0.094088,            0.016968,                   0,           0.0012121,             0.16667,          0.00080281,          0.00013156,            0.047859,            0.030987,                   0,            0.059255,            0.004255,            0.004255
                  23,            0.073575,            0.016327,                   0,           0.0021212,             0.29167,           0.0014953,          0.00040886,            0.049311,            0.029989,                   0,            0.057432,           0.0044325,           0.0044325
                  24,            0.096028,            0.018366,                   0,           0.0021212,             0.29167,           0.0019726,          0.00031829,            0.051747,            0.027918,                   0,            0.055609,           0.0046089,           0.0046089
                  25,            0.097255,            0.016558,                   0,           0.0024242,             0.33333,           0.0022831,          0.00044044,            0.044896,            0.030949,                   0,            0.053784,           0.0047844,           0.0047844
                  26,            0.092591,            0.016164,                   0,           0.0024242,             0.33333,           0.0018004,          0.00036749,            0.053749,            0.026823,                   0,            0.051959,           0.0049589,           0.0049589
                  27,            0.093317,            0.016961,                   0,           0.0024242,             0.33333,           0.0018004,          0.00036749,            0.053749,            0.026823,                   0,            0.050132,           0.0051325,           0.0051325
                  28,            0.071291,            0.017182,                   0,           0.0039394,             0.54167,           0.0033391,           0.0010465,            0.043054,            0.031347,                   0,            0.048305,            0.005305,            0.005305
                  29,            0.089887,            0.016999,                   0,           0.0057576,             0.79167,           0.0060767,           0.0013439,            0.044064,            0.029833,                   0,            0.046477,           0.0054765,           0.0054765
                  30,            0.073055,            0.015568,                   0,           0.0057576,             0.79167,           0.0060767,           0.0013439,            0.044064,            0.029833,                   0,            0.044647,           0.0056471,           0.0056471
                  31,            0.087347,            0.013679,                   0,           0.0057576,             0.79167,           0.0086321,           0.0022277,            0.046757,            0.028036,                   0,            0.042817,           0.0058166,           0.0058166
                  32,            0.093761,            0.016691,                   0,           0.0030303,             0.41667,           0.0028156,          0.00049305,            0.055914,            0.023483,                   0,            0.040985,           0.0059852,           0.0059852
                  33,            0.099446,            0.013826,                   0,           0.0030303,             0.41667,           0.0028156,          0.00049305,            0.055914,            0.023483,                   0,            0.039153,           0.0061528,           0.0061528
                  34,            0.089614,            0.015587,                   0,           0.0066667,             0.91667,           0.0088036,           0.0025342,            0.046694,             0.02744,                   0,            0.037319,           0.0063194,           0.0063194
                  35,            0.087645,            0.016597,                   0,           0.0060606,             0.83333,            0.009785,           0.0023314,            0.051023,            0.024869,                   0,            0.035485,            0.006485,            0.006485
                  36,            0.086588,            0.014691,                   0,           0.0060606,             0.83333,            0.009785,           0.0023314,            0.051023,            0.024869,                   0,             0.03365,           0.0066496,           0.0066496
                  37,            0.072471,            0.012348,                   0,           0.0057576,             0.79167,           0.0083882,           0.0016956,            0.050495,            0.024991,                   0,            0.031813,           0.0068132,           0.0068132
                  38,            0.089288,            0.013485,                   0,           0.0021212,             0.29167,           0.0032933,          0.00041876,            0.060423,            0.020048,                   0,            0.029976,           0.0069758,           0.0069758
                  39,            0.097231,            0.012992,                   0,           0.0021212,             0.29167,           0.0032933,          0.00041876,            0.060423,            0.020048,                   0,            0.028137,           0.0071375,           0.0071375
                  40,            0.096657,            0.014963,                   0,           0.0030303,             0.41667,            0.002485,          0.00052625,             0.06075,            0.019583,                   0,            0.026298,           0.0072981,           0.0072981
                  41,            0.094345,            0.012151,                   0,           0.0069697,             0.95833,            0.018922,           0.0033319,            0.047504,            0.026324,                   0,            0.024458,           0.0074578,           0.0074578
                  42,            0.073309,            0.011778,                   0,           0.0069697,             0.95833,            0.018922,           0.0033319,            0.047504,            0.026324,                   0,            0.022616,           0.0076164,           0.0076164
                  43,            0.091574,            0.016297,                   0,           0.0066667,             0.91667,            0.015491,           0.0027499,            0.045096,            0.027247,                   0,            0.020774,           0.0077741,           0.0077741
                  44,            0.086231,             0.01497,                   0,           0.0066667,             0.91667,            0.015491,           0.0027499,            0.045096,            0.027247,                   0,            0.018931,           0.0079308,           0.0079308
                  45,            0.086492,             0.01309,                   0,           0.0048485,             0.66667,           0.0049864,          0.00078099,            0.047608,            0.026571,                   0,            0.017086,           0.0080865,           0.0080865
